Date,Place,Street,Railroad,Description
12/01/16 9:16,"MILWAUKEE, WISCONSIN",91ST ST,Wisconsin Central Ltd. (also Railway),VEHICLE STOPPED TOO CLOSE TO THE TRACKS AT THE 91ST ST. GRADE CROSSING AND WAS STRUCK BY A LIGHT ENGINE. UNIT STOPPED AND VEHICLE FLED THE SCENE. NO INFORMATION AVAILABLE ON THE VEHICLE. DRIVER OR ANY POSSIBLE PASSENGERS. HIGHWAY USER'S INFORMATION AND HIGHWAY VEHICLE PROPERTY DAMAGE ARE UNKNOWN.
12/01/16 7:12,OKLAHOMA,E 0280 ROAD,BNSF Railway Company,13: FARM EQUIPMENT - TRACTOR AND UREA SPREADER
12/01/16 6:39,"ST LOUIS, MISSOURI",*PRIVATE,Amtrak (National Railroad Passenger Corporation),"TRAIN 22 CLIPPED THE REAR OF AN 18-WHEEL TRACTOR-TRAILER AT MP 11.35 A PRIVATE CROSSING. THE AGE OF THE DRIVER WAS NOT AVAILABLE. AMTRAKS EQUIPMENT DAMAGE IS $10,000.00."
12/01/16 2:30,MICHIGAN,CARLTON ROAD,Grand Trunk Western Railroad Incorporated,DRIVER MISTOOK TRACKS AS THE ROAD AND GOT STUCK ON THEM AT THE CARLTON ROAD CROSSING. DRIVER HAD EXITED THE VEHICLE BEFORE THE TRAIN STRUCK THE LEFT REAR SIDE. SIGNALS WERE OPERATING AS INTENDED. NO INJURIES WERE REPORTED.
11/01/16 21:00,WASHINGTON,N HENDRICKSON 6,BNSF Railway Company,
11/01/16 17:18,"SUNNYVALE, CALIFORNIA",MARY AVENUE,Caltrain Commuter Railroad Company,"CALTRAIN 262 WAS GOING SOUTHBOUND TO SUNNYVALE, THE ENGINEER NOTICED A CAR FOULING MAIN TRACK 2 AT MARY AVENUE MP 37.9. THE ENGINEER PLACED THE TRAIN INTO EMERGENCY. WHEN THE CONDUCTOR WENT BACK TO THE CROSSING THE VEHICLE WAS DESTROYED BY THE IMPACT."
11/01/16 13:50,"TOPEKA, KANSAS",VICTORY SAND,Union Pacific Railroad Company,SEMI TRUCK STOPPED AT CROSSING THEN PROCEEDED OVER THE TRACKS PRIOR TO IMPACT.
11/01/16 9:35,"MOWEAQUA, ILLINOIS",CEDAR ST,Decatur Junction Railway Company,VEHICLE FAILED TO STOP
10/01/16 15:12,"TALPA, TEXAS",021400B,Texas Pacifico Transportation Limited,"ON JANUARY 10, 2016 AT 312PM. CREW MJCSA10 HAD A UNIT TRAIN OF 75 CARS WITH 3 LOCOS HEADING WEST, ENGINEER WAS CONTROLLING HIS TRAIN ON A DOWNHILL GRADE AND A CURVE HE SAW A SMALL PICKUP STOPPED ON THE TRACKS. THE ENGINEER BLEW THE HORN BUT THE DRIVER DID NOT MOVE. ENGINEER PUT THE TRAIN INTO EMERGENCY AT MP17.23, LEAD LOCO STRUCK THE PICKUP ON THE BACK SIDE. CONDUCTOR CALLED 911 SHERIFF AND HWY PATROL AND EMT'S ARRIVED SHORTLY. DRIVER HAD NO INJURIES AND WAS ARRESTED FOR DWI."
10/01/16 15:05,"MCKEES ROCKS, PENNSYLVANIA",RIVER AVENUE,CSX Transportation,K45508 STRUCK PEDESTRIAN.
10/01/16 13:05,"GALLUP, NEW MEXICO",2ND STREET,BNSF Railway Company,
10/01/16 10:50,"BURTON, MICHIGAN",GENESEE RD,Grand Trunk Western Railroad Incorporated,A LOADED CONTAINER TRAIN STRUCK AN UNOCCUPIED VEHICLE STUCK ON THE GENESEE RD. CROSSING. DRIVER APPLIED BRAKES BUT SLID ON THE ICY ROAD ONTO THE CROSSING AND EXITED THE VEHICLE PRIOR TO THE TRAIN IMPACT. NO INJURIES WERE REPORTED
10/01/16 3:30,"GARY, INDIANA",CITY ST/VIRGINIA ST,Norfolk Southern Corporation,NS TRAIN 66ZL409 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S INFORMATION UNKNOWN.
10/01/16 1:01,"ROSEDALE, MARYLAND",PRIVATE ROAD,CSX Transportation,K45508 STRUCK AN UNOCCUPIED 2005 GOLD NISSAN SENTRA THAT WAS STOPPED AT THE CROSSING.
09/01/16 21:19,"OAKDALE, LOUISIANA",VAN PLY ROAD,Union Pacific Railroad Company,THE TRAILER OF A SEMI TRUCK WAS STUCK ON CROSSING PRIOR TO THE GATES DESCENDING.
09/01/16 10:46,TEXAS,JOE MATTHEWS RD.,Union Pacific Railroad Company,FARMER'S TRACTOR STALLED ON THE CROSSING AND WAS STRUCK BY THE TRAIN.
09/01/16 0:50,KANSAS,N MOONLIGHT RD,BNSF Railway Company,41: UNOCCUPIED VEHICLE
08/01/16 23:35,"BILOXI, MISSISSIPPI",IROQUOIS AVE,CSX Transportation,CAR PULLED ONTO THE CROSSING AND THE I57907 STRUCK THE VEHICLE IN THE PASSENGERS DOOR. AGE OF DRIVER UNKNOWN. PROTECTION ALSO AT CROSSING: ADVANCE WARNING.
08/01/16 17:15,"CHICAGO, ILLINOIS",95TH STREET,Northeast IL Regional Commuter Rail Corp.(METRA),SUBJECT WAS OPERATING A VEHICLE AND MADE AN ILLEGAL LEFT TURN ONTO THE TRACKS AT 95TH STREET AND WAS STRUCK BY TRAIN #611. NO INJURIES WERE REPORTED.
08/01/16 16:20,"SANTA BARBARA, CALIFORNIA",PRIVATE ROAD,Amtrak (National Railroad Passenger Corporation),"TRAIN 790 OPERATING WITH LOCOMOTIVE E/164 AND 6 CARS STRUCK A PEDESTRIAN AT MP 373.08, FINNEY ST CROSSING. THE PEDESTRIAN WAS STANDING ON THE TRACKS."
08/01/16 16:15,"EATON, OHIO",US - 35/US - 35,Norfolk Southern Corporation,NS TRAIN 282L006 STRUCK A HWY-USER AT A HWY-GRADE CROSSING. DRIVER'S AGE VERIFIED. THE DRIVER INVOLVED IN THE CROSSING ACCIDENT WAS NOT INJURED. A BYSTANDER WAS STRUCK BY THE TRUCK THAT WAS INITIALLY STRUCK BY OUR TRAIN.
08/01/16 13:40,"BARTLETT, ILLINOIS",OAK AVE,Northeast IL Regional Commuter Rail Corp.(METRA),TRAIN #2238 WAS TRAVELING EASTBOUND ON MAIN TRACK #2 WHEN VEHICLE PULLED UP TO THE GRADE CROSSING AND THE GATES WERE COMING DOWN. THE DRIVER OF THE VEHICLE EXITED THE CAR AND THE VEHICLE WAS STRUCK. NO INJURIES.
08/01/16 11:16,TEXAS,CR 0315,BNSF Railway Company,DRIVER AGE UNKNOWN 41: UNOCCUPIED VEHICLE
08/01/16 10:20,IDAHO,CINDER BUTTE ROAD,Union Pacific Railroad Company,TRAIN STRUCK THE TRAILER PORTION OF THE TRACTOR/TRAILER.
08/01/16 6:40,"COLUMBUS, GEORGIA",CS 1749 / SR 85/MANC,Norfolk Southern Corporation,NS TRAIN AC20 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
07/01/16 21:45,TEXAS,MILAM ST,BNSF Railway Company,41: CRAWLED UNDER TRAIN
07/01/16 20:30,"JEFFERSON CITY, MISSOURI",INDUSTRIAL ROAD,Union Pacific Railroad Company,HIGHWAY USER STRUCK A RAIL CAR AS THEY WERE SHOVING INTO AN INDUSTRY.
07/01/16 20:00,"COLUMBUS, GEORGIA",CS 1249/OAKVIEW AVE,Norfolk Southern Corporation,NS TRAIN 137A507 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
07/01/16 19:30,"PATERSON, NEW JERSEY",PATERSON MP 17.2,New Jersey Transit Rail Operations,"TRAIN #1125 STRUCK AN OCCUPIED AUTOMOBILE THAT DROVE AROUND THE CROSSING GATESAT 5TH AVE CROSSING IN PATERSON. 1 INJURY. DAMAGED ENGINE 4519 AND CROSSING GATES. OTHER WARNINGS: STOPLINES, CROSSING SYMBOLS, ADVANCE WARNING SIGNS."
07/01/16 14:24,"KENNER, LOUISIANA",HANSON PLACE,Amtrak (National Railroad Passenger Corporation),"TRAIN 59 OPERATING WITH LOCOMOTIVE E/58 AND 7 CARS STRUCK AN OCCUPIED VEHICLE AT MP 900.61, HANSON PLACE CROSSING."
07/01/16 13:00,"BROWNSVILLE, TENNESSEE",COLLEGE ST,CSX Transportation,CREW REPORTED HITTING A CAR AT COLLEGE STREET IN BROWNSVILLE.
07/01/16 9:20,"POMPANO BEACH, FLORIDA",ATLANTIC BLVD,South Florida Regional Transit Authority,"NORTHBOUND COMMUTER TRAIN WAS STRUCK IN THE SIDE BY A WESTBOUND VEHICLE, THAT FAILED TO STOP FOR THE CROSSING, SUSTAINING MINOR DAMAGE TO THE DOOR ENTRY STEP OF THE 2ND COACH. HIGHWAY VEHICLE THEN FLED THE SCENE."
07/01/16 9:20,"CHELSEA, ALABAMA",CHELSEA ROAD,CSX Transportation,A73507 CLIPPED THE REAR HOPPER PORTION OF A TRUCK THAT WAS HANGING BACK AS THE TRUCK PROCEEDED OVERTHE CROSSING. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINE & RR CROSSING SYMBOLS).
07/01/16 0:46,"LATTA, SOUTH CAROLINA",LEITNER ST,Amtrak (National Railroad Passenger Corporation),TRAIN 98 OPERATING WITH LOCOMOTIVES E/150-E/60 AND 11 CARS STRUCK A PEDESTRIAN WALKING ON THE TRACKS AT MP 268.71 LEITNER ST CROSSING. THERE WAS NO EQUIPMENT DAMAGE.
07/01/16 0:10,"GLENDALE, ARIZONA",59TH AVE/GLENDALE,BNSF Railway Company,
06/01/16 15:26,"PALATINE, ILLINOIS",PLUM GROVE RD.,Union Pacific Metra,VEHICLE STOPPED UNDER THE GATE AND THEN MOVED SOUTHWARD IN FRONT OF TRAIN. HIGHWAY USER'S ACTIONS:WENT THROUGH THE GATE - MOVING.
06/01/16 9:55,"N/A, WEST VIRGINIA",PRIVATE,Norfolk Southern Corporation,NS TRAIN C26CA06 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
05/01/16 20:45,"ATLANTA, GEORGIA",CS 77/OLD MARIETTA R,Norfolk Southern Corporation,NS GA26 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
05/01/16 16:23,"REDAN, GEORGIA",STN MTN LITHOIA R,CSX Transportation,Q19705 STRUCK A VEHICLE AT STONE MOUNTAIN/LITHONIA ROAD. NO INJURIES REPORTED TO CREW OR VEHICLE OCCUPANTS. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS). AGE OF DRIVER UNKNOWN.
05/01/16 13:55,"NORMAN, OKLAHOMA",E CEDAR LANE RD,BNSF Railway Company,41: WALKED AROUND GATES
05/01/16 12:30,"CUTHBERT, GEORGIA",ANDREW STREET,Georgia Southwestern Railroad Inc.,"WHILE WHITEOAK SWITCHER WAS SHOVING, PRIVATE VEHICLE WAS MOVING OVER CROSSING. CROSSING WAS BEING FLAGGING. EMPLOYEE WAVE HAND VIOLENTLY TO GET STOP THE VEHICLE. VEHICLE MADE QUICK STOP THEN PROCEEDED OVER CROSSING. TRAIN STRUCK FRONT QUARTER PANEL OF CAR."
05/01/16 1:20,"BROCKWAY, PENNSYLVANIA",HWY RT 219,"Buffalo & Pittsburgh Railroad, Incorporated",VEHICLE OCCUPANT FAILED TO STOP AT RTE 219 ROAD CROSSING STRIKING LOCOMOTIVE 2002 IN THE FUEL TANK.THE DRIVER THEN JUMPED OUT OF HIS VEHICLE AND FLED THE SCENE AFTER OCCUPYING A VEHCILE STOPPED BEHIND HIM AND WAS LATER APPREHENDED BY STATE POLICE.
04/01/16 17:45,"CELINA, OHIO",STORAGE RD.,"R. J. Corman, Western Ohio Line",VEHICLE TRAVELING WESTBOUND FAILED TO YIELD AT CROSSING WHILE NORTHBOUND TRAIN STRUCK CAR AT STORAGE RD CROSSING.
04/01/16 16:20,"ORLANDO, FLORIDA",WEST MICHIGAN ST,Central Florida Rail Corridor,"P322 WAS OPERATING ON #2 TRACK AT MP A 792.29 , WEST MICHIGAN ST STRUCK A VEHICLE THAT WAS STOPPED ON THE TRACK."
04/01/16 12:40,"N/A, DELAWARE",SR-10/WILLOW GROVE R,Norfolk Southern Corporation,NS TRAIN K94H304 STRUCK A HWY-USER AT A HWY-GRADE CROSSING.
04/01/16 12:20,"GIBSONBURG, OHIO",CR 85,"Northern Ohio & Western Railway, LTD.",AT 1220 PM NOW1701 JOB TRAVELING NORTH AT APPROXIMATELY 16 MPH TRAVELING THROUGH CR 85 WHEN CROSSING WAS TOTALLY OCCUPIED BY TRAIN A CHEVY SUBURBAN STRUCK LOCOMOTIVE AT APPROXIMATELY THE BRAKE PISTON. WHEN THE VEHICLE STRUCK THE LOCOMOTIVE IT BOUNCED BACK. VEHICLE DID NOT ATTEMPT TO STOP. POLICEARRIVED AND TOOK STATEMENTS. A TICKET WAS ISSUED TO THE DRIVER OF THE VEHICLE.
04/01/16 11:07,TEXAS,CR 2330,Union Pacific Railroad Company,VEHICLE DID NOT STOP PRIOR TO COLLIDING WITH THE SIDE OF THE LOCOMOTIVE. #32 WARNING DEVICES: YIELD SIGN
04/01/16 9:10,"MILWAUKEE, WISCONSIN",27TH & GREVES,Canadian Pacific Railway Company,"280-04 WAS TRAVELING EAST ON #2 MAIN TRACK AT 19 MPH AND MADE CONTACT WITH AN OCCUPIED SEMI-TRAILER AT 27TH STREET & GREVES-DOT CROSSING 386-506F. SEMI TRACTOR/TRAILER WAS ON SOUTH SIDE OF TRACK TRYING TO MANEUVER A TURN. SEMI HAD BACKED UP & PUT REAR OF TRAILER TRACKS. TRAIN CREW OBSERVED SEMI MOVING FORWARD, THEN BACK UP AND ATTEMPT TO MOVE FORWARD AGAIN. ENGINEER PLACED TRAIN IN EMERGENCY BUTCOULD NOT AVOID CONTACT. LEAD LOCOMOTIVE CSXT18 SUSTAINED DAMAGE TO FRONT PIN-LIFTER, SNOW PLOW, ENG"
04/01/16 6:49,"LAKE WORTH, FLORIDA",SOUTH 6TH AV,South Florida Regional Transit Authority,OPERATOR OF A CITY OF LAKE WORTH GARBAGE TRUCK STOPPED ON THE CROSSING AND EXITED THE VEHICLE. TRAIN ENGINEER OBSERVED THE VEHICLE ON THE TRACKS AND PLACED THE TRAIN IN EMERGENCY. TRAIN IMPACTED THE TRUCK AND PUSHED IT UP THE ROW. THE LEAD CAR SUBSEQUENTLY DERAILED BUT REMAINED UPRIGHT. SEVERAL PASSENGERS WERE TRANSPORTED FOR POSSIBLE INJURIES. CROSSING WARNING SYSTEM FUNCTIONED AS INTENDED.
04/01/16 1:00,"AMARILLO, TEXAS",N MCMASTERS,BNSF Railway Company,
03/01/16 11:30,"GREENVILLE, SOUTH CAROLINA",ARNOLD ST.,CSX Transportation,"F78403 WAS TRAVELING TOWARDS GREENVILLE YARD, WHEN A CHEVY TRUCK APPEARED TO BE SLOWING DOWN AS IT APPROACHED THE CROSSING. THE TRUCK STOPPED TOO CLOSE TO THE CROSSING. F78403 HIT THE FRONT END OF THE TRUCK. THE DRIVER LEFT THE SCENE WITHOUT BEING IDENTIFIED, PASSENGER WAS TRANSPORTED TO THE HOSPITAL. MOTORIST AGE UNKNOWN. PROTECTION ALSO AT CROSSING: ADVANCE WARNING AND PAVEMENT MARKINGS (STOP LINES & RR XING SYMBOLS)."
03/01/16 2:30,"WICHITA, KANSAS",S. WASHINGTON ST,BNSF Railway Company,DRIVER AGE UNKNOWN
02/01/16 18:42,"ANGLETON, TEXAS",S DOWNING ST,Union Pacific Railroad Company,HIGHWAY USER WAS IN AN SUV THAT WAS STOPPED AT THE CROSSING WAITING FOR THE TRAIN. THE DRIVER REACHED FOR HIS CELL PHONE AND ACCIDENTLY STEPPED ON THE GAS PEDAL AND RAN INTO A RAIL CAR IN THE PASSING TRAIN.
02/01/16 10:06,"SUMNER, WASHINGTON",ZEHNDER ST,Amtrak (National Railroad Passenger Corporation),"TRAIN 11 OPERATING WITH LOCOMOTIVES E/510-E/174 AND 12 CARS STRUCK A PEDESTRIAN THAT WAS STANDING BETWEEN THE RAILS AT MP 28.47, ZEHNDER ST CROSSING. THERE WAS NO EQUIPMENT DAMAGE."
